column name,column type,column values
metaplasia_present,Not specified,"No, Not Reported, Unknown, Yes"
metastasis_at_diagnosis,Not specified,"Distant Metastasis, Metastasis, NOS, No Metastasis, Not Reported, Regional Metastasis, Unknown"
metastasis_at_diagnosis_site,Not specified,"Bladder, Bone, Cerebrospinal Fluid, Esophagus, Lymph Node, NOS, Ovary, Peritoneal Cavity, Pleura, Unknown, Urethra"
method_of_diagnosis,Not specified,"Biopsy, Blood Draw, Cystoscopy, Diagnostic Imaging, Enucleation, Excisional Biopsy, Fine Needle Aspiration, Laparoscopy, Not Reported, Pathologic Review"
method_of_sample_procurement,Not specified,"Abdomino-perineal Resection of Rectum, Bone Marrow Aspirate, Enucleation, Hand Assisted Laparoscopic Radical Nephrectomy, Lumpectomy, Oophorectomy, Other, Subtotal Prostatectomy, Transoral Laser Excision, Tumor Debulking"
methylation_array_harmonization_workflows,Not specified,Not specified
methylation_beta_values,Not specified,Not specified
methylation_liftover_workflows,Not specified,Not specified
micrometastasis_present,Not specified,"No, Not Reported, Unknown, Yes"
micropapillary_features,Not specified,"Absent, Not Reported, Present, Unknown"
minor_version,integer,Not specified
mirna_expression_workflows,Not specified,Not specified
mirna_expressions,Not specified,Not specified
mismatch_repair_mutation,Not specified,"No, Not Reported, Unknown, Yes"
mitosis_karyorrhexis_index,Not specified,"High, Intermediate, Low, Not Reported, Unknown"
mitotic_count,"integer, number",Not specified
mitotic_total_area,number,Not specified
molecular_analysis_method,Not specified,"Immunofluorescence, Karyotype, Microarray, Microscopy, NOS, Nuclear Staining, PCR, RNA Sequencing, RT-PCR, Sequencing, NOS, Southern Blotting"
molecular_consequence,Not specified,"Feature Truncation, Inframe Deletion, Intergenic Variant, Missense Variant, NMD Transcript Variant, Splice Acceptor Variant, Stop Lost, Synonymous Variant, TF Binding Site Variant, TFBS Ablation"
molecular_tests,Not specified,Not specified
morphologic_architectural_pattern,Not specified,"Cohesive, Cribiform, Micropapillary, Non-cohesive, Papillary Renal Cell, Papillary, NOS, Solid, Tubular"
morphology,Not specified,"8142/3, 8148/2, 8171/3, 8211/0, 8300/3, 8450/0, 8772/3, 8935/0, 9105/3, 9393/3"
msi_score,number,Not specified
msi_status,Not specified,"MSI, MSS"
multiplex_barcode,string,Not specified
mutation_codon,Not specified,"12, 13, 61"
myasthenia_gravis_classification,Not specified,"Class I, Class II, Class III, Class IV, Class V"
nadir_cd4_count,number,Not specified
name,string,"MSI, Tag, analyte, batch_effect_removed, cnv, cqcf, hg19, meth, portion, segmented"
namespace,string,Not specified
necrosis_percent,number,Not specified
necrosis_present,Not specified,"No, Not Reported, Yes"
no_matched_normal_low_pass_wgs,boolean,Not specified
no_matched_normal_targeted_sequencing,boolean,Not specified
no_matched_normal_wgs,boolean,Not specified
no_matched_normal_wxs,boolean,Not specified
non_nodal_regional_disease,Not specified,"Absent, Indeterminate, Not Reported, Present, Unknown"
non_nodal_tumor_deposits,Not specified,"No, Not Reported, Unknown, Yes"
nononcologic_therapeutic_agents,Not specified,"Acetaminophen, Aspirin, Metformin, Statin, NOS"
normal_tumor_genotype_snp_match,Not specified,"No, Not Allowed To Collect, Not Reported, Unknown, Yes"
notes,string,Not specified
number_expect_cells,integer,Not specified
number_of_cycles,integer,Not specified
number_of_fractions,number,Not specified
number_proliferating_cells,integer,Not specified
occupation_duration_years,integer,Not specified
occupation_type,array,Not specified
oct_embedded,string,Not specified
other_clinical_attributes,Not specified,Not specified
ovarian_specimen_status,Not specified,"Not Reported, Ovarian Capsule Fragmented, Ovarian Capsule Intact, Ovarian Capsule Ruptured, Unknown"
ovarian_surface_involvement,Not specified,"Absent, Indeterminate, Not Reported, Present, Unknown"
overrepresented_sequences,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
oxygen_use_indicator,Not specified,"No, Not Reported, Unknown, Yes"
oxygen_use_type,Not specified,"Continuous, Intermittent"
pack_years_smoked,number,Not specified
pairs_on_diff_chr,integer,Not specified
pancreatitis_onset_year,integer,Not specified
papillary_renal_cell_type,Not specified,"Type 1, Type 2"
parent_samples,Not specified,Not specified
parent_with_radiation_exposure,Not specified,"No, Not Reported, Yes"
passage_count,integer,Not specified
pathogenicity,Not specified,"Benign, Likely Benign, Likely Pathogenic, Pathogenic, Uncertain Significance"
pathology_details,Not specified,Not specified
pathology_report_uuid,string,Not specified
pathology_reports,Not specified,Not specified
pediatric_kidney_staging,Not specified,"Nephrectomy specimen with tumor confined to the kidney; distant metastasis identified at diagnosis, Nephrectomy specimen with tumor confined to the kidney; no distant metastasis, Nephrectomy specimen with tumor that is present at the surgical margin of resection or within regional lymph nodes; distant metastasis identified at diagnosis, Nephrectomy specimen with tumor that is present at the surgical margin of resection or within regional lymph nodes; no distant metastasis, Nephrectomy specimen with tumor that penetrates the renal capsule or involves the renal sinus with negative margins and negative lymph nodes; distant metastasis identified at diagnosis, Nephrectomy specimen with tumor that penetrates the renal capsule or involves the renal sinus with negative margins and negative lymph nodes; no distant metastasis, Not Reported, Tumor biopsied only at diagnosis; distant metastasis identified at diagnosis, Tumor biopsied only at diagnosis; no distant metastasis"
per_base_n_content,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
per_base_sequence_content,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
per_base_sequence_quality,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
per_sequence_gc_content,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
per_sequence_quality_score,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
per_tile_sequence_quality,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
percent_eosinophil_infiltration,number,Not specified
percent_follicular_component,number,Not specified
percent_gc_content,integer,Not specified
percent_granulocyte_infiltration,number,Not specified
percent_inflam_infiltration,number,Not specified
percent_lymphocyte_infiltration,number,Not specified
percent_monocyte_infiltration,number,Not specified
percent_necrosis,number,Not specified
percent_neutrophil_infiltration,number,Not specified
percent_normal_cells,number,Not specified
percent_rhabdoid_features,number,Not specified
percent_sarcomatoid_features,number,Not specified
percent_stromal_cells,number,Not specified
percent_tumor_cells,number,Not specified
percent_tumor_invasion,number,Not specified
percent_tumor_nuclei,number,Not specified
perineural_invasion_present,Not specified,"No, Not Reported, Unknown, Yes"
peripancreatic_lymph_nodes_positive,Not specified,"0, 1-3, 4 or More, Not Reported, Unknown"
peripancreatic_lymph_nodes_tested,integer,Not specified
peritoneal_fluid_cytological_status,Not specified,"Atypical, Malignant, Non-Malignant, Not Reported, Unknown, Unsatisfactory"
peritoneal_washing_results,Not specified,"Negative, Not Reported, Positive"
plate_name,string,Not specified
plate_well,string,Not specified
platform,Not specified,"Affymetrix SNP 6.0, Complete Genomics, Illumina, Illumina Human Methylation 27, Illumina Methylation Epic, Ion Torrent, LS454, PacBio, RPPA, SOLiD"
platforms,Not specified,Not specified
ploidy,Not specified,"Aneuploid, Diploid, Hyperdiploid, Hypodiploid, Near Diploid, Not Reported, Tetraploid, Unknown"
pmid,string,Not specified
portion_number,string,Not specified
portions,Not specified,Not specified
pregnancy_count,integer,Not specified
pregnancy_outcome,Not specified,"Ectopic Pregnancy, Induced Abortion, Live Birth, Miscarriage, Not Reported, Spontaneous Abortion, Stillbirth, Unknown"
pregnant_at_diagnosis,Not specified,"No, Not Reported, Unknown, Yes"
premature_at_birth,Not specified,"No, Not Reported, Unknown, Yes"
prescribed_dose,number,Not specified
preservation_method,Not specified,"Cryopreserved, EDTA, FFPE, Fresh, Frozen, Not Allowed To Collect, Not Reported, OCT, Snap Frozen, Unknown"
primary_diagnosis,Not specified,"Adamantinoma, malignant, Basal cell carcinoma, micronodular, Intraepithelial squamous cell carcinoma, Mast cell sarcoma, Myloproliferative neoplasm, unclassifiable, Osteoid osteoma, NOS, Polymorphic post transplant lymphoproliferative disorder, Squamotransitional cell carcinoma, Thymoma, type C, Undifferentiated sarcoma"
primary_disease,boolean,Not specified
primary_gleason_grade,Not specified,"Pattern 1, Pattern 2, Pattern 3, Pattern 4, Pattern 5"
primary_site,string,"Corpus uteri, Hematopoietic and reticuloendothelial systems, Hypopharynx, Liver and intrahepatic bile ducts, Other and unspecified parts of biliary tract, Pancreas, Parotid gland, Pyriform sinus, Rectum, Testis"
prior_malignancy,Not specified,"Not Allowed To Collect, no, not reported, unknown, yes"
prior_treatment,Not specified,"No, Not Allowed To Collect, Not Reported, Unknown, Yes"
proc_internal,Not specified,dna-seq skip
procedures_performed,Not specified,"Colonoscopy, Endoscopy, Not Reported, Unknown"
programs,Not specified,Not specified
progression_or_recurrence,Not specified,"No, Not Allowed To Collect, Not Reported, Unknown, Yes, no, not reported, unknown, yes"
progression_or_recurrence_anatomic_site,Not specified,"Cloacogenic zone, Gallbladder, Heart, Larynx, NOS, Lateral floor of mouth, Lateral wall of oropharynx, Lip, NOS, Lymph node, NOS, Medulla of adrenal gland, Pharynx, NOS"
progression_or_recurrence_type,Not specified,"Biochemical, Distant, Local, Locoregional, Not Reported, Regional, Unknown"
project,string,Not specified
project_id,string,Not specified
projects,Not specified,Not specified
proportion_base_mismatch,number,Not specified
proportion_coverage_10x,number,Not specified
proportion_coverage_30x,number,Not specified
proportion_reads_duplicated,number,Not specified
proportion_reads_mapped,number,Not specified
proportion_targets_no_coverage,number,Not specified
prostatic_chips_positive_count,number,Not specified
prostatic_chips_total_count,number,Not specified
prostatic_involvement_percent,number,Not specified
protein_expressions,Not specified,Not specified
protocol_identifier,Not specified,"8605, AALL07P4, ACCL0331, ADVL0812, ADVL0821, ADVL1011, ALTE03N1, ANBL0321, ANBL09P1, IHRT"
race,Not specified,"Unknown, american indian or alaska native, asian, black or african american, native hawaiian or other pacific islander, not allowed to collect, not reported, other, unknown, white"
radiosensitizing_agent,Not specified,"No, Not Reported, Unknown, Yes"
radon_exposure,Not specified,"No, Not Reported, Unknown, Yes"
raw_methylation_arrays,Not specified,Not specified
read_group_name,string,Not specified
read_group_qcs,Not specified,Not specified
read_groups,Not specified,Not specified
read_length,Not specified,Not specified
read_pair_number,Not specified,"Not Applicable, R1, R2, R3"
reason_treatment_ended,Not specified,"Adverse Event, Course of Therapy Completed, Death, Disease Progression, Other, Withdrawal by Subject"
reason_treatment_not_given,Not specified,"Adverse Event/Complications, Not Done per Treating Physician's Discretion, Not Reported, Participant Refusal, Scheduling Problems, Unknown"
recist_targeted_regions_number,integer,Not specified
recist_targeted_regions_sum,number,Not specified
reflux_treatment_type,Not specified,"Antacids, H2 Blockers, Medically Treated, No Treatment, Not Applicable, Not Reported, Proton Pump Inhibitors, Surgically Treated, Unknown"
regimen_or_line_of_therapy,string,Not specified
related_files,Not specified,Not specified
related_to_files,Not specified,Not specified
relationship_age_at_diagnosis,number,Not specified
relationship_gender,Not specified,"female, male, not reported, unknown, unspecified"
relationship_primary_diagnosis,Not specified,"Bile Duct Cancer, Bladder Cancer, Breast Cancer, Chondrosarcoma, Ewing Sarcoma, Kaposi Sarcoma, Neuroblastoma, Rectal Cancer, Throat Cancer, Uterine Cancer"
relationship_type,Not specified,"Foster Mother, Grandfather, Identical Twin Brother, Maternal Grandfather, Maternal Great Uncle, Niece Second Degree Relative, Paternal Grandparent, Paternal Half Brother, Stepmother, Stepsister"
relative_deceased,Not specified,"No, Not Reported, Yes"
relative_smoker,Not specified,"No, Not Reported, Yes"
relative_with_cancer_history,Not specified,"no, not reported, unknown, yes"
relatives_with_cancer_history_count,integer,Not specified
releasable,boolean,Not specified
release_date,Not specified,Not specified
release_requested,boolean,Not specified
released,boolean,Not specified
request_submission,boolean,Not specified
residual_disease,Not specified,"Not Reported, R0, R1, R2, RX, Unknown"
residual_tumor,Not specified,"R0, R1, R2, RX"
residual_tumor_measurement,Not specified,"1-10 mm, 11-20 mm, >20 mm, No macroscopic disease"
respirable_crystalline_silica_exposure,Not specified,"No, Unknown, Yes"
revision,number,Not specified
rhabdoid_percent,number,Not specified
rhabdoid_present,Not specified,"No, Not Reported, Yes"
ribosomal_rna_28s_16s_ratio,number,Not specified
rin,number,Not specified
risk_factor,Not specified,"Allergy, Nuts, BRCA Family History, Colonization, Bacterial, Common variable immune deficiency (CVID), Gorlin Syndrome, Hepatitis A Infection, Intestinal Metaplasia, Myelodysplastic Syndrome, Neurocystericerosis, Rheumatoid Arthritis"
risk_factor_method_of_diagnosis,Not specified,"Biochemical Assessment, Both Clinical and Biochemical Assessments, Clinical Assessment, Not Reported"
risk_factor_treatment,Not specified,"No, Not Reported, Unknown, Yes"
risk_factors,array,Not specified
rna_expression_workflows,Not specified,Not specified
rna_integrity_number,number,Not specified
roots,Not specified,Not specified
route_of_administration,array,Not specified
run_metadata_files,Not specified,Not specified
sample_ordinal,integer,Not specified
sample_type,Not specified,"Additional - New Primary, Blood Derived Cancer - Bone Marrow, Post-treatment, Blood Derived Liquid Biopsy, Blood Derived Normal, FFPE Scrolls, Metastatic, Mixed Adherent Suspension, Recurrent Blood Derived Cancer - Bone Marrow, Repli-G X (Qiagen) DNA, Saliva"
sample_type_id,Not specified,"03, 05, 06, 14, 15, 31, 32, 41, 85, 87"
samples,Not specified,Not specified
sarcomatoid_percent,number,Not specified
sarcomatoid_present,Not specified,"No, Not Reported, Yes"
satellite_nodule_present,Not specified,"Absent, Indeterminate, Not Reported, Present, Unknown"
scan_tracer_used,Not specified,"Acetate, Axumin, Choline, PSMA, Sodium Fluoride"
schema_version,string,Not specified
second_exon,string,Not specified
second_gene_symbol,Not specified,"ASPSCR1, CREB1, EIF3E, GATA2, HEY1, PIM1, PSIP1, PTEN, RGPD3, VHL"
secondary_expression_analyses,Not specified,Not specified
secondary_gleason_grade,Not specified,"Pattern 1, Pattern 2, Pattern 3, Pattern 4, Pattern 5"
secondhand_smoke_as_child,Not specified,"No, Not Reported, Unknown, Yes"
section_location,string,Not specified
selected_normal_low_pass_wgs,boolean,Not specified
selected_normal_targeted_sequencing,boolean,Not specified
selected_normal_wgs,boolean,Not specified
selected_normal_wxs,boolean,Not specified
sequence_duplication_levels,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
sequence_length_distribution,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
sequencing_center,string,Not specified
sequencing_date,Not specified,Not specified
short_name,string,Not specified
shortest_dimension,number,Not specified
simple_germline_variations,Not specified,Not specified
simple_somatic_mutations,Not specified,Not specified
single_cell_library,Not specified,"Chromium 3' Gene Expression v2 Library, Chromium 3' Gene Expression v3 Library, Chromium scATAC v1 Library, Smart-Seq2"
site_of_resection_or_biopsy,Not specified,"Anus, NOS, Bone of limb, NOS, Descended testis, Descending colon, Floor of mouth, NOS, Fundus uteri, Hypopharyngeal aspect of aryepiglottic fold, Lateral floor of mouth, Lingual tonsil, Other ill-defined sites"
sites_of_involvement,array,Not specified
sites_of_involvement_count,integer,Not specified
size_extraocular_nodule,number,Not specified
size_selection_range,string,Not specified
slide_images,Not specified,Not specified
slides,Not specified,Not specified
smoking_frequency,Not specified,"Every day, Some days, Unknown"
somatic_aggregation_workflows,Not specified,Not specified
somatic_annotation_workflows,Not specified,Not specified
somatic_copy_number_workflows,Not specified,Not specified
somatic_mutation_calling_workflows,Not specified,Not specified
somatic_mutation_indexes,Not specified,Not specified
source_center,string,Not specified
specialized_molecular_test,string,Not specified
specimen_type,Not specified,"Adherent Cell Line, Cell, Derived Cell Line, EBV Immortalized, Fibroblasts from Bone Marrow, Mononuclear Cells from Bone Marrow, Not Reported, Pleural Effusion, Saliva, Solid Tissue"
spectrophotometer_method,string,Not specified
spike_ins_concentration,string,Not specified
spike_ins_fasta,string,Not specified
spindle_cell_percent,number,Not specified
stain_type,Not specified,"Haemotoxylin and Eosin (H&E), Immunohistochemistry (IHC)"
staining_intensity_scale,Not specified,"3 Point Scale, 4 Point Scale"
staining_intensity_value,Not specified,"0, 1+, 2+, 3+, 4+"
state,Not specified,"error, invalid, open, processing, redacted, released, review, suppressed, validated, validating"
state_comment,string,Not specified
status,Not specified,"Approved, Rescinded"
structural_variant_calling_workflows,Not specified,Not specified
structural_variations,Not specified,Not specified
submission_enabled,boolean,Not specified
submitted_aligned_reads_files,Not specified,Not specified
submitted_genomic_profiles,Not specified,Not specified
submitted_genotyping_arrays,Not specified,Not specified
submitted_methylation_beta_values,Not specified,Not specified
submitted_tangent_copy_numbers,Not specified,Not specified
submitted_unaligned_reads_files,Not specified,Not specified
submitter_id,string,Not specified
supratentorial_localization,Not specified,"Cerebral Cortex, Deep Gray (e.g. Basal Ganglia, Thalamus), Frontal lobe, Not Reported, Occipital lobe, Parietal lobe, Spinal Cord, Temporal lobe, Unknown, White Matter"
synchronous_malignancy,Not specified,"No, Not Reported, Unknown, Yes"
tags,Not specified,Not specified
target_capture_kit,Not specified,"Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v2, Custom SeqCap EZ TARGET-OS Panel - 7.0 Mb, Custom Solid Tumor GENIE-VICC Panel - 34 Genes, Custom SureSelect CGCI-BLGSP Panel - 7.8 Mb, Custom SureSelect CGCI-HTMCP-CC KMT2D And Hotspot Panel - 37.0 Kb, Custom SureSelect TARGET-AML_NBL_WT Panel - 2.8 Mb, SureSelect Human All Exon v5 + UTR, TruSeq Amplicon Cancer Panel, TruSight Myeloid Sequencing Panel, xGen Exome Research Panel v1.0"
target_capture_kit_catalog_number,string,Not specified
target_capture_kit_name,string,Not specified
target_capture_kit_target_region,string,Not specified
target_capture_kit_vendor,string,Not specified
target_capture_kit_version,string,Not specified
test_analyte_type,Not specified,"DNA, Not Reported, Protein, Total RNA, Unknown, mRNA, miRNA"
test_result,Not specified,"Abnormal, NOS, Amplified, Copy Number Reported, Equivocal, High, Negative, Not Amplified, Overexpressed, Positive, Test Value Reported"
test_units,Not specified,"Not Reported, Unknown, g/L, mcg/L, mcg/mL, mg/dL, mm^2, mmol/L, percent, ukat/L"
test_value,number,Not specified
test_value_range,Not specified,"0-25, 1-49%, 10-19%, 30-39%, 40-49%, 51-75, 60-69%, 76-100, <1%, >=50%"
therapeutic_agents,Not specified,"Amuvatinib, Androgen Receptor Antagonist TAS3681, Anti-CD38-targeted IgG4-attenuated IFNa TAK-573, Digitoxin, Etoricoxib, Iniparib, Integrin alpha-2 Inhibitor E7820, Nanoparticle Paclitaxel Ointment SOR007, Puquitinib Mesylate, Vapreotide"
therapeutic_level_achieved,boolean,Not specified
therapeutic_levels_achieved,Not specified,"No, Not Reported, Unknown, Yes"
therapeutic_target_level,Not specified,>14 mg/L
time_between_clamping_and_freezing,number,Not specified
time_between_excision_and_freezing,number,Not specified
time_between_waking_and_first_smoke,Not specified,"31-60 Minutes, 6-30 Minutes, After 60 Minutes, Unknown, Within 5 Minutes"
timepoint_category,Not specified,"Adolescence, Childhood, End of Consolidation Therapy, Initial Diagnosis, Not Reported, Post Adjuvant Therapy, Post Hormone Therapy, Preoperative, Prior to Procurement, Within 3 Months of Surgery"
tissue_collection_type,Not specified,"Prospective, Retrospective"
tissue_microarray_coordinates,string,Not specified
tissue_or_organ_of_origin,Not specified,"Glans penis, Hypopharyngeal aspect of aryepiglottic fold, Medulla of adrenal gland, Overlapping lesion of cervix uteri, Overlapping lesion of connective, subcutaneous and other soft tissues, Overlapping lesion of larynx, Overlapping lesion of other and unspecified parts of mouth, Overlapping lesion of urinary organs, Retromolar area, Tonsil, NOS"
tissue_source_sites,Not specified,Not specified
tissue_type,Not specified,"Abnormal, Normal, Not Allowed To Collect, Not Reported, Peritumoral, Tumor, Unknown"
to_trim_adapter_sequence,boolean,Not specified
tobacco_smoking_onset_year,integer,Not specified
tobacco_smoking_quit_year,integer,Not specified
tobacco_smoking_status,Not specified,"4, 5, 7, Current Reformed Smoker for > 15 yrs, Current Reformed Smoker, Duration Not Specified, Not Allowed To Collect, Not Reported, Smoker at Diagnosis, Smoking history not documented, Unknown"
total_reads,integer,Not specified
total_sequences,integer,Not specified
transcript,string,Not specified
transglottic_extension,Not specified,"Absent, Not Reported, Present, Unknown"
treatment_anatomic_site,Not specified,"Abdomen, total, Carina, Hard Palate, Lymph Node(s) Epitrochlear, Lymph Node(s) Iliac-External, Penis, Small Bowel - Mucosa Only, Umbilical Cord, Urethra, White Blood Cells"
treatment_anatomic_sites,array,Not specified
treatment_arm,Not specified,"A081105, A081801, E4512, EA5142"
treatment_dose,integer,Not specified
treatment_dose_max,number,Not specified
treatment_dose_units,Not specified,"AUC, IU/kg, IU/mg, Wafer, cGy, g/day, mEq, mg/dL, mg/m2/day, ug"
treatment_duration,integer,Not specified
treatment_effect,Not specified,"Complete Necrosis (No Viable Tumor), Incomplete Necrosis (Viable Tumor Present), No Known Treatment Effect, No Necrosis, Not Reported, Unknown"
treatment_effect_indicator,Not specified,"No, Not Reported, Unknown, Yes"
treatment_frequency,Not specified,"Every 24 Hours, Every Other Day, Four Times Daily, Never, Not Reported, Occasionally, Once Daily, Once a Week for at Least a Year, Three Times Daily, Unknown"
treatment_intent_type,Not specified,"Adjuvant, Androgen Deprivation Therapy (ADT), Consolidation Therapy, Cure, First-Line Therapy, Induction, Neoadjuvant, Not Reported, Prevention, Unknown"
treatment_or_therapy,Not specified,"no, not reported, unknown, yes"
treatment_outcome,Not specified,"Complete Response, No Measurable Disease, Normalization of Tumor Markers, Not Reported, Partial Response, Persistent Disease, Progressive Disease, Treatment Ongoing, Treatment Stopped Due to Toxicity, Unknown"
treatment_outcome_duration,integer,Not specified
treatment_type,Not specified,"Ancillary Treatment, Ethanol Injection Ablation, Peptide Receptor Radionuclide Therapy (PRRT), Pharmaceutical Therapy, NOS, Pleurodesis, NOS, Radiation, Photon Beam, Stem Cell Transplantation, Allogeneic, Stem Cell Transplantation, Haploidentical, Stereotactic Radiosurgery, Surgery"
treatments,Not specified,Not specified
tumor_burden,number,Not specified
tumor_code,Not specified,"Acute myeloid leukemia (AML), CNS, ependymoma, CNS, glioblastoma (GBM), CNS, low grade glioma (LGG), CNS, rhabdoid tumor, Cervical Cancer (all types), Induction Failure AML (AML-IF), Lung Cancer (all types), Osteosarcoma (OS), Rhabdomyosarcoma"
tumor_code_id,Not specified,"10, 15, 21, 30, 51, 62, 63, 64, 71, 81"
tumor_confined_to_organ_of_origin,Not specified,"No, Not Reported, Unknown, Yes"
tumor_depth,number,Not specified
tumor_depth_descriptor,Not specified,"Deep, Not Reported, Superficial"
tumor_depth_measurement,number,Not specified
tumor_descriptor,Not specified,"Metastatic, NOS, New Primary, Not Applicable, Not Reported, Premalignant, Primary, Recurrence, Unknown, Xenograft"
tumor_focality,Not specified,"Multifocal, Not Reported, Unifocal, Unknown"
tumor_grade,Not specified,"G1, G2, G3, G4, GB, GX, High Grade, Low Grade, Not Reported, Unknown"
tumor_grade_category,Not specified,"Four Tier, Not Reported, Three Tier"
tumor_infiltrating_lymphocytes,Not specified,"Few, Many, Moderate"
tumor_infiltrating_macrophages,Not specified,"Few, Many, Moderate"
tumor_largest_dimension_diameter,number,Not specified
tumor_length_measurement,number,Not specified
tumor_level_prostate,array,Not specified
tumor_ploidy,number,Not specified
tumor_purity,number,Not specified
tumor_regression_grade,Not specified,"0, 1, 2, 3, Not Reported, Unknown"
tumor_shape,Not specified,"Diffuse, Dome, Mushroom, Unknown"
tumor_thickness,number,Not specified
tumor_width_measurement,number,Not specified
type,string,data_release
type_of_smoke_exposure,Not specified,"Aircraft smoke, Coal smoke, NOS, Fire smoke, NOS, Hashish smoke, Machine smoke, Marijuana smoke, Oil burning smoke, NOS, Work-related smoke, NOS, Work-related smoke, fire fighting, Work-related smoke, plumbing"
type_of_tobacco_used,Not specified,"Cigar, Cigarette, Electronic Cigarette, Other, Pipe, Smokeless Tobacco"
uicc_clinical_m,Not specified,"M0, M1, M1a, M1b, M1c, MX, Not Reported, Unknown, cM0 (i+)"
uicc_clinical_n,Not specified,"N0, N0 (i+), N1, N1a, N1b, N1bI, N1bII, N2c, N3c, NX"
uicc_clinical_stage,Not specified,"Not Reported, Stage 0is, Stage IA, Stage IA2, Stage IIA1, Stage IIB, Stage IIIC, Stage IIIC2, Stage IS, Stage IVB"
uicc_clinical_t,Not specified,"T0, T1a2, T1b1, T1b2, T1mi, T2d, T4e, TX, Tis (Paget's), Unknown"
uicc_pathologic_m,Not specified,"M0, M1, M1a, M1b, M1c, M1d, M2, MX, Not Reported, cM0 (i+)"
uicc_pathologic_n,Not specified,"N0 (mol+), N1, N1a, N1bIV, N1mi, N2, N2b, N3c, NX, Not Reported"
uicc_pathologic_stage,Not specified,"Stage IA, Stage IB, Stage IC, Stage IIA1, Stage IIA2, Stage IIIA2, Stage IIID, Stage IVA, Stage IVB, Stage X"
uicc_pathologic_t,Not specified,"T0, T1, T1a, T1b1, T2, T2b, T3a, T4, Tis, Unknown"
uicc_staging_system_edition,Not specified,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, Not Reported, Unknown"
ulceration_indicator,Not specified,"No, Not Reported, Yes"
undescended_testis_corrected,Not specified,"No, Not Reported, Yes"
undescended_testis_corrected_age,integer,Not specified
undescended_testis_corrected_laterality,Not specified,"Bilateral, Left, Not Reported, Right"
undescended_testis_corrected_method,Not specified,"Hormones, Not Reported, Orchiopexy, Spontaneous Descent, Testis Removed"
undescended_testis_history,Not specified,"No, Not Reported, Yes"
undescended_testis_history_laterality,Not specified,"Bilateral, Left, Not Reported, Right"
updated_datetime,Not specified,Not specified
use_per_day,number,Not specified
variant_origin,Not specified,"Germline, Somatic, Unknown"
variant_type,Not specified,"Chrimerism, Deletion-Insertion, Genetic Polymorphism, Insertion, Inversion, Methylation, Mosaicism, Not Reported, Splice, Substitution"
vascular_invasion_present,Not specified,"No, Not Reported, Unknown, Yes"
vascular_invasion_type,Not specified,"Extramural, Intramural, Macro, Micro, No Vascular Invasion, Not Reported, Unknown"
viral_hepatitis_serologies,Not specified,"HBV Core Antibody, HBV DNA, HBV Genotype, HBV Surface Antibody, HCV Genotype, Hepatitis B Surface Antigen, Hepatitis C Antibody, Hepatitis C Virus RNA, Not Reported, Unknown"
vital_status,Not specified,"Alive, Dead, Not Reported, Unknown, alive, dead, lost to follow-up"
weeks_gestation_at_birth,number,Not specified
weight,number,Not specified
weiss_assessment_findings,array,Not specified
weiss_assessment_score,Not specified,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
well_number,string,Not specified
wgs_coverage,Not specified,"0x-10x, 10x-25x, 150x+, 25x-150x, Not Applicable, Unknown"
who_cns_grade,Not specified,"Grade I, Grade II, Grade III, Grade IV, Grade Not Assigned, Not Reported, Unknown"
who_nte_grade,Not specified,"G1, G2, G3, GX, Not Reported, Unknown"
wilms_tumor_histologic_subtype,Not specified,"Favorable, Not Reported, Unfavorable, Unknown"
workflow_end_datetime,Not specified,Not specified
workflow_link,string,Not specified
workflow_start_datetime,Not specified,Not specified
workflow_type,Not specified,"BCGSC miRNA Profiling, CellRanger - 10x Filtered Counts, CellRanger - 10x Raw Counts, GATK4 MuTect2, GATK4 MuTect2 Tumor-Only Annotation, GENIE Structural Variation, GISTIC - Focal Amplification, RNA-SeQC - Counts, STAR - FPKM, SomaticSniper"
workflow_version,string,Not specified
year_of_birth,Not specified,Not specified
year_of_death,integer,Not specified
year_of_diagnosis,number,Not specified
year_of_follow_up,integer,Not specified
years_smoked,number,Not specified
zone_of_origin_prostate,Not specified,"Central zone, Overlapping/multiple zones, Peripheral zone, Transition zone, Unknown zone"
zygosity,Not specified,"Hemizygous, Heterozygous, Homozygous, Not Reported, Nullizygous, Unknown"
